product_name,product_price,category_name,product_img,size_s,color_name
VINTAGE S LOW PRO CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311047_BLA7_1.jpg?v=1683049766&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311047-vintage-s-low-pro-cap-bla7
BASIC STRAPBACK CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311104_BLAC_1.jpg?v=1683148503&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311104-basic-strapback-cap-blac
BASIC STRAPBACK CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311104_FORE_1_7c9f3438-c12b-4502-a2d8-0a206a63688f.jpg?v=1683049995&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311104-basic-strapback-cap-fore
BASIC STRAPBACK CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311104_SLAT_1_01dd1f5e-07d6-489c-b27a-8fa4ae0c9fe6.jpg?v=1683049999&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311104-basic-strapback-cap-slat
BIG STOCK POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311052_WHIT_1_362bd526-521f-49d2-be3c-1200d7cca13a.jpg?v=1683049802&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311052-big-stock-point-crown-cap-whit
BIG STOCK POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311052_SLAT_1_18f1b5e8-87c3-4b31-8d2d-a532557a3006.jpg?v=1683049800&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311052-big-stock-point-crown-cap-slat
BIG STOCK POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311052_LOLV_1_edcc86a8-db27-430d-aade-cb1652e671c2.jpg?v=1683049793&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311052-big-stock-point-crown-cap-lolv
BIG STOCK POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311052_BROW_1_8584ab8b-4edf-462c-a215-15abb22f62c5.jpg?v=1683049786&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311052-big-stock-point-crown-cap-brow
BIG STOCK POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311052_BLAC_1_851a42ad-f878-4e8f-b12e-c18382d6f2be.jpg?v=1683148535&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311052-big-stock-point-crown-cap-blac
BIG STOCK POINT CROWN CAP,65000 ,headwear,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1311052_GREY_1_27f65833-f51a-434e-8940-fb8a0daa5dcc.jpg?v=1683049789&width=480,ONE SIZE,https://kr.stussy.com/collections/headwear/products/1311052-big-stock-point-crown-cap-grey
