product_name,product_price,category_name,product_img,size_s,size_m,size_l,size_xl,size_xxl,color_name
RIPSTOP CARGO BEACH PANT,234000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116608_BROW_1_7b164b80-3202-420d-b552-38063bc71825.jpg?v=1683049332&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116608-ripstop-cargo-beach-pant-brow
RIPSTOP CARGO BEACH PANT,234000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116608_PURP_1.jpg?v=1683049322&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116608-ripstop-cargo-beach-pant-purp
RIPSTOP CARGO BEACH PANT,234000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116608_CREM_1_c60a71f3-3c68-4221-bbdb-5d70fd291121.jpg?v=1683148655&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116608-ripstop-cargo-beach-pant-crem
RIPSTOP CARGO BEACH PANT,234000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116608_BLAC_1_b6e2be7a-6833-47ab-b6d8-7c8d7f6a8e88.jpg?v=1683148655&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116608-ripstop-cargo-beach-pant-blac
POLY TRACK PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116585_AZUR_1_2027df04-8dd2-42d1-bb2e-71ecc9b0c424.jpg?v=1683049298&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116585-poly-track-pant-azur
POLY TRACK PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116585_BROW_1_49172f5e-9906-4f19-8ce0-16e69dda5804.jpg?v=1683049301&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116585-poly-track-pant-brow
POLY TRACK PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116585_NATL_1.jpg?v=1683049300&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116585-poly-track-pant-natl
POLY TRACK PANT,210000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116585_BLAC_1.jpg?v=1683049299&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116585-poly-track-pant-blac
RIPSTOP SURPLUS CARGO,288000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116586_WASB_1_2931fc36-eaf5-451c-ae53-07127aa31f25.jpg?v=1683049308&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116586-ripstop-surplus-cargo-wasb
RIPSTOP SURPLUS CARGO,288000 ,pants,//cdn.shopify.com/s/files/1/0099/5708/1143/products/116586_BLAC_1_9dc3622d-ee90-4af9-b117-f87b8be06f72.jpg?v=1683148655&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/pants/products/116586-ripstop-surplus-cargo-blac
