product_name,product_price,category_name,product_img,size_s,size_m,size_l,size_xl,size_xxl,color_name
나이키 덩크 로우 레트로,129000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a3e7dead-1ad2-4c40-996d-93ebc9df0fca/%EB%8D%A9%ED%81%AC-%EB%A1%9C%EC%9A%B0-%EB%A0%88%ED%8A%B8%EB%A1%9C-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-bDdzzUjf.png",240,250,260,270,280,black
나이키 에어 포스 1 '07,139000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e6da41fa-1be4-4ce5-b89c-22be4f1f02d4/%EC%97%90%EC%96%B4-%ED%8F%AC%EC%8A%A4-1-07-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-TttlGpDb.png",240,250,260,270,280,white
나이키 에어 베이퍼맥스 2023 플라이니트,249000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ea9e14ef-1953-41b5-9cda-c53b9079d3d6/%EC%97%90%EC%96%B4-%EB%B2%A0%EC%9D%B4%ED%8D%BC%EB%A7%A5%EC%8A%A4-2023-%ED%94%8C%EB%9D%BC%EC%9D%B4%EB%8B%88%ED%8A%B8-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-FeLHVaMR.png",240,250,260,270,280,black
나이키 덩크 로우 레트로 SE,118100,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/856b44ab-0c1f-4001-9f89-f95e699470d0/%EB%8D%A9%ED%81%AC-%EB%A1%9C%EC%9A%B0-%EB%A0%88%ED%8A%B8%EB%A1%9C-se-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-uKAFYXN0.png",240,250,260,270,280,blue
나이키 에어 포스 1 '07,139000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a42a5d53-2f99-4e78-a081-9d07a2d0774a/%EC%97%90%EC%96%B4-%ED%8F%AC%EC%8A%A4-1-07-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-a2W0K4QH.png",240,250,260,270,280,white
나이키 에어 포스 1 '07 프레시,169000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4b24bc11-4ea0-4ee5-8d16-aa58b518475b/%EC%97%90%EC%96%B4-%ED%8F%AC%EC%8A%A4-1-07-%ED%94%84%EB%A0%88%EC%8B%9C-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-fsFe4ylQ.png",240,250,260,270,280,white
나이키 에어맥스 펄스,179000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d0b94722-d603-4e66-829c-51f1801ec3fa/%EC%97%90%EC%96%B4%EB%A7%A5%EC%8A%A4-%ED%8E%84%EC%8A%A4-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-AkhWHFKz.png",240,250,260,270,280,beige
나이키 인빈서블 3,209000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/268e5f54-aee3-4c21-a7df-fa8c2067694a/%EC%9D%B8%EB%B9%88%EC%84%9C%EB%B8%94-3-%EB%82%A8%EC%84%B1-%EB%A1%9C%EB%93%9C-%EB%9F%AC%EB%8B%9D%ED%99%94-mUkQDlaH.png",240,250,260,270,280,beige
나이키 페가수스 40,149000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/bc26760f-9fd1-456b-9e60-47def7cec2d6/%ED%8E%98%EA%B0%80%EC%88%98%EC%8A%A4-40-%EB%82%A8%EC%84%B1-%EB%A1%9C%EB%93%9C-%EB%9F%AC%EB%8B%9D%ED%99%94-TQtnoMrS.png",240,250,260,270,280,beige
나이키 페가수스 40 프리미엄,159000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/370a6fc5-7c2f-47e3-a5a2-fb29a80d3e65/%ED%8E%98%EA%B0%80%EC%88%98%EC%8A%A4-40-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84-%EB%82%A8%EC%84%B1-%EB%A1%9C%EB%93%9C-%EB%9F%AC%EB%8B%9D%ED%99%94-LAWJ62pr.png",240,250,260,270,280,white
나이키 메트콘 8,159000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7b27c12e-2b98-4685-b86e-cf2731ac3d33/%EB%A9%94%ED%8A%B8%EC%BD%98-8-%EB%82%A8%EC%84%B1-%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%8B%9D%ED%99%94-Q3Fh9J5S.png",240,250,260,270,280,black
나이키 페가수스 트레일 4 GORE-TEX,189000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/357cf26a-26a1-4ff0-8cde-d46249051eff/%ED%8E%98%EA%B0%80%EC%88%98%EC%8A%A4-%ED%8A%B8%EB%A0%88%EC%9D%BC-4-gore-tex-%EB%82%A8%EC%84%B1-%EC%9B%8C%ED%84%B0%ED%94%84%EB%A3%A8%ED%94%84-%ED%8A%B8%EB%A0%88%EC%9D%BC-%EB%9F%AC%EB%8B%9D%ED%99%94-LIz4TAPU.png",240,250,260,270,280,black
나이키 에어 포스 1 '07,139000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2f9e087d-1f0f-4b72-8576-b7b7b64e73ae/%EC%97%90%EC%96%B4-%ED%8F%AC%EC%8A%A4-1-07-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-EJLt1dnh.png",240,250,260,270,280,white
ACG 에어 데슈츠+,89000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d7a785a1-713a-4d03-8532-a361c6572f59/acg-%EC%97%90%EC%96%B4-%EB%8D%B0%EC%8A%88%EC%B8%A0-%EC%83%8C%EB%93%A4-iQExmtCM.png",240,250,260,270,280,black
나이키 덩크 로우 레트로,129000,shoes,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b93b8a0f-5891-4e52-813a-503044c04580/%EB%8D%A9%ED%81%AC-%EB%A1%9C%EC%9A%B0-%EB%A0%88%ED%8A%B8%EB%A1%9C-%EB%82%A8%EC%84%B1-%EC%8B%A0%EB%B0%9C-5CKVyL4f.png",240,250,260,270,280,white
