product_name,product_price,category_name,product_img,size_s,size_m,size_l,size_xl,size_xxl,color_name
BLOCK SPORT PIGMENT DYED TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904910H_ARTI_1_b4b2cb97-2fbf-4127-8548-e792913b3b7e.jpg?v=1683052312&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904910h-block-sport-pigment-dyed-tee-artichoke
NO.4 TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904901_KEYL_1_54116695-4959-4995-9158-f64748c71b7b.jpg?v=1683052268&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904901-no4-tee-keylime
GOLD LION LS TEE,82000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1994916_CORA_1_476ac993-fee8-47a7-b61c-8419f9fcc0e0.jpg?v=1683052708&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1994916-gold-lion-ls-tee-coral
PITSTOP LS TEE,82000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1994917_TEAA_1_14a298e5-0b92-4f1c-9d7a-3678fe5e7285.jpg?v=1683052776&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1994917-pitstop-ls-tee-tea
PROPERTY OF TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904872_BLAC_1.jpg?v=1683050502&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904872-property-of-tee-blac
PROPERTY OF TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904872_WHIT_1_55bc0fd5-08cc-464b-89cd-79ba20f8a8a3.jpg?v=1683050517&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904872-property-of-tee-whit
PROPERTY OF TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904872_KEYL_1_514eb611-a265-41b9-97de-e8f3656d5156.jpg?v=1683050506&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904872-property-of-tee-keyl
WHATCHU NEED TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904955_KEYL_1_4a353add-c97c-4f9e-999b-585219665cac.jpg?v=1683050728&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904955-whatchu-need-tee-keylime
BASIC ST?SSY TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904870_KEYL_1.jpg?v=1683066793&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904870-basic-stussy-tee-keyl
BASIC ST?SSY TEE,68000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1904870_MAUV_1.jpg?v=1683066792&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1904870-basic-stussy-tee-mauv
BASIC ST?SSY LS TEE,82000 ,tees,//cdn.shopify.com/s/files/1/0099/5708/1143/products/1994870_TEAA_1_aa370f2e-a830-4c17-b278-5059e3fcd36b.jpg?v=1683051559&width=480,S,M,L,XL,XXL,https://kr.stussy.com/collections/tees/products/1994870-basic-stussy-ls-tee-teaa
